Voivodeship,Year,Ai,G1,G2,G3
Lower Silesian,2015,A1,2388.1,2363.4,10763
Lower Silesian,2016,A1,2401.6,2369.4,10944.6
Lower Silesian,2017,A1,2412.1,2379.5,10219.5
Lower Silesian,2018,A1,2438.6,2407.8,9917.7
Lower Silesian,2019,A1,2541.1,2478.3,8513.2
Kuyavian-Pomeranian,2015,A2,1541.9,1377.9,3758.7
Kuyavian-Pomeranian,2016,A2,1544.8,1411.2,5261.5
Kuyavian-Pomeranian,2017,A2,2132.9,1983.3,7203
Kuyavian-Pomeranian,2018,A2,2078.7,1975.4,6798.8
Kuyavian-Pomeranian,2019,A2,2139.9,2040.3,7739.8
Lublin,2015,A3,480,452.4,1803
Lublin,2016,A3,587.9,558.6,2376
Lublin,2017,A3,595.3,565.8,2221.8
Lublin,2018,A3,651.2,623,2066.8
Lublin,2019,A3,712.5,682.7,2443.6
Lubusz,2015,A4,615.2,596,2502.9
Lubusz,2016,A4,667.1,647.8,2959.1
Lubusz,2017,A4,814.7,785.3,3321.4
Lubusz,2018,A4,813.6,795.3,3290.8
Lubusz,2019,A4,850.1,816.1,3375.8
Łódź,2015,A5,6249,6355.1,37206.6
Łódź,2016,A5,6384,6513.4,35761.4
Łódź,2017,A5,6411.9,6536.7,38446.7
Łódź,2018,A5,6434.1,6562.5,38641
Łódź,2019,A5,6499.4,6621.5,33257.1
Lesser Poland,2015,A6,2069,1953.1,6621.1
Lesser Poland,2016,A6,1978,1861.7,6415.4
Lesser Poland,2017,A6,1921.4,1890.9,6244.8
Lesser Poland,2018,A6,1931.8,1911.9,5888.7
Lesser Poland,2019,A6,1998,1977.8,5146.1
Masovian,2015,A7,5490.2,5471.4,23631.6
Masovian,2016,A7,5615.1,5632.3,24283
Masovian,2017,A7,6868.7,6795.9,24916.2
Masovian,2018,A7,7494.9,7421.7,30441
Masovian,2019,A7,7561.4,7531.6,32201.2
Opole,2015,A8,1984.2,2003.6,8278.7
Opole,2016,A8,1989,2008.4,8366
Opole,2017,A8,2015,2034.3,8600.7
Opole,2018,A8,2025.4,2045.5,10087.2
Opole,2019,A8,3973,3887.6,12445.8
Subcarpathian,2015,A9,1050.5,1038.7,2897.2
Subcarpathian,2016,A9,1046.3,1034.5,2687.6
Subcarpathian,2017,A9,1072.1,1039.9,2627.1
Subcarpathian,2018,A9,1093.6,1060.1,2462
Subcarpathian,2019,A9,1175.7,1141.6,2740.1
Podlaskie,2015,A10,446.4,399.2,1213.7
Podlaskie,2016,A10,450,402.8,1226.9
Podlaskie,2017,A10,460.1,412.9,1186.1
Podlaskie,2018,A10,468.8,421.6,1051.2
Podlaskie,2019,A10,530.3,482.6,1297.2
Pomeranian,2015,A11,1768.8,1789.4,4232.3
Pomeranian,2016,A11,1931.4,1950,4465
Pomeranian,2017,A11,1971.7,1943.7,4533.6
Pomeranian,2018,A11,1995.7,1965.8,4104.9
Pomeranian,2019,A11,2045.6,2021.7,4686.1
Silesian,2015,A12,7296.7,7214.8,27562.2
Silesian,2016,A12,7294.3,7190,27247.2
Silesian,2017,A12,7358.2,7218.7,27834.2
Silesian,2018,A12,7306.6,7178.2,24905.9
Silesian,2019,A12,7550.2,7432.8,21556.8
Holy Cross,2015,A13,1876.8,1916.3,9898.6
Holy Cross,2016,A13,1890.2,1935.2,11322.5
Holy Cross,2017,A13,1896.9,1941.9,10164.8
Holy Cross,2018,A13,1909.2,1954.2,11213.1
Holy Cross,2019,A13,1952.1,1997.1,9577.8
Warmian-Masurian,2015,A14,447.7,436.1,1147
Warmian-Masurian,2016,A14,469.6,456.6,1166.3
Warmian-Masurian,2017,A14,502,477.3,1293.3
Warmian-Masurian,2018,A14,530.9,500.5,1170.2
Warmian-Masurian,2019,A14,593.1,571,1525.3
Greater Poland,2015,A15,3513.2,3463.9,13412.2
Greater Poland,2016,A15,3653.2,3601.9,12814.4
Greater Poland,2017,A15,3683.4,3615.4,12321.5
Greater Poland,2018,A15,3696.8,3028.1,9840.7
Greater Poland,2019,A15,3823.8,3157,9570.5
West Pomeranian,2015,A16,3166.2,3152.8,10015.6
West Pomeranian,2016,A16,3363.2,3349.9,9354.8
West Pomeranian,2017,A16,3390.8,3368.2,9330.7
West Pomeranian,2018,A16,3443.3,3414.2,8159.4
West Pomeranian,2019,A16,3490.4,3451.3,7912.2
